Caso,DescDoenca,area_damaged,canker_lesion,crop_hist,date,external decay,fruit spots,fruiting_bodies,fruit_pods,germination,hail,int_discolor,leaf_malf,leaf_mild,leaf_shread,leafspots_halo,leafspot_size,leafspots_marg,leaves,lodging,mold_growth,mycelium,plant_growth,plant_stand,precip,roots,sclerotia,seed,seed_discolor,seed_size,seed_tmt,severity,shriveling,stem,stem_cankers,temp
1,diaporthe_stem_canker,low_areas,Brown,same_1st_yr,Outubro,firm_and_dry,dna,Present,Norm,90_100%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,No,Absent,Absent,Abnorm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,Above_sec_nde,norm
2,diaporthe_stem_canker,scattered,Brown,same_lst_two_yrs,Agosto,firm_and_dry,dna,Present,Norm,80_89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,severe,Absent,Abnorm,Above_sec_nde,norm
3,diaporthe_stem_canker,scattered,dna,same_1st_yr,Julho,firm_and_dry,dna,Present,Norm,lt_80%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,severe,Absent,Abnorm,Above_sec_nde,norm
4,diaporthe_stem_canker,scattered,dna,same_1st_yr,Julho,firm_and_dry,dna,Present,Norm,80_89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,Above_sec_nde,norm
5,diaporthe_stem_canker,scattered,Brown,same_lst_two_yrs,Outubro,firm_and_dry,dna,Present,Norm,lt_80%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,Above_sec_nde,norm
6,diaporthe_stem_canker,scattered,dna,same_lst_sev_yrs,Setembro,firm_and_dry,dna,Present,Norm,80_89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,Above_sec_nde,norm
7,diaporthe_stem_canker,scattered,Brown,same_lst_two_yrs,Setembro,firm_and_dry,dna,Present,Norm,90_100%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,No,Absent,Absent,Abnorm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot_severe,Absent,Abnorm,Above_sec_nde,norm
8,diaporthe_stem_canker,scattered,Brown,same_1st_yr,Agosto,firm_and_dry,dna,Present,Norm,lt_80%,No,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,pot_severe,Absent,Abnorm,Above_sec_nde,norm
9,diaporthe_stem_canker,scattered,Brown,same_lst_sev_yrs,Outubro,firm_and_dry,dna,Present,Norm,80_89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot_severe,Absent,Abnorm,Above_sec_nde,norm
10,diaporthe_stem_canker,scattered,Brown,same_lst_two_yrs,Agosto,firm_and_dry,dna,Present,Norm,lt_80%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,gt_normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,Above_sec_nde,norm
